,x,y
75,pedestrian was walking in the street not in a crosswalk the pedestrian walked in front of me and forced me to turn to avoid hitting them there were wet metal plates in the road because of construction and rain and the sharp turn caused me to slip on the,2.0
76,a skateboarder was using the sidewalk improperly and hit me,1.0
77,a cyclist was going too fast and then proceeded to yell at me after i legally crossed,3.0
78,i was walking back from class and the cyclist was going downhill way too fast i did not see him until he hit me with his bag which was on one shoulder,1.0
79,riding downhill on a walking biking path towards evans but then took the turn too quickly crossing strawberry creek and fell over,4.0
80,i was on my bike on san pablo went to turn right to go to parker st i looked over my shoulder but not well car hit me asked if i was ok then drove,2.0
81,a skateboarder ran into me as i was slowly riding my bike there were so many pedestrians that neither one of us could change course the only path from north gate to hearst mining circle is very crowded and hard to bike on,1.0
82,the car stopped at the stop sign as i was crossing the street walking up channing crossing fulton but the young woman driving was too busy chatting with her friend in the passenger seat to look up before she hit the gas pedal the bumper hit my knee,3.0
83,i was inattentive and walked into the road it was dusk so i did not see a cyclist coming towards me the cyclist nearly hit me but stopped his bike just in time,2.0
84,i was walking to a meeting approaching sather gate from lower sproul around lunch time a bicyclist came zooming down in the opposite direction into a crowd of students and myself walking upstream he braked but could not stop fast enough he clipped me,4.0
85,the slope of the edge of the driveway was too uneven so when i tried to get on the sidewalk from the bike lane my wheel bumped it twisted and threw me off,1.0
86,i was in bike lane southbound on oxford car two cars ahead was turning right onto center and stopped quickly in the halfway in the bike lane half in vehicle lane caused the car behind it and immediately in front of me to slam on breaks caused me to m,2.0
87,pedestrian on sidewalk on shattuck lost hat in the wind it blew into the street was an elderly man not very mobile but he scurried out into the street i was on my bike waiting for the light to change going north on shattuck i was afraid he would get,2.0
88,i was going to class,1.0
89,i was headed home there was a large bump on the sidewalk and the front wheel of my scooter got caught and i flew over the scooter,1.0
90,my wheel melted when i was going downhill and using the footbrake,0.0
91,i was crossing bowditch and the approaching car tried to roll through the stop sign to turn onto bancroft the driver was inattentive and was only looking in one direction to look for oncoming traffic and did not see me she avoided hitting me and apolo,3.0
92,hearst and spruce,3.0
93,biking up to dwinelle from downtown the other vehicle was driven by the dissertation advisor of a close friend just a little scrape no biggie,2.0
94,i was walking on the bridge closest to life and science building and a cyclist was trying to go between students walking in both directions in doing so he hit me because he overcorrected in trying not to hit the other student walking in the opposite dire,0.0
95,i was bicycling past a large parked delivery truck and there really was not enough room my bicycle pedal hit the side of the truck and i fell off of my bike but was unhurt just embarrassed it was on the narrow roadway next to koshland hall where ther,1.0
96,both of the cyclists were headed toward the same restricted passage between bollards blocking automobile traffic from the intersection minor damage to bikes,3.0
97,i fell off my bike because i lost my balance,3.0
98,car was turning right from circle and stopped i did not expect them to stop so suddenly and didn t have time to react as i tried to go around them had to brace my hand against the trunk of the car to prevent myself from hitting the car they got out and,2.0
99,walking to class cyclist ran into me and fell on top of me,1.0
100,i was traveling from haas pavilion to th flagstone paved diagonal walkway by bicycle it was dark out i missed the ramp and hit the square curb dead on i flew over the front of my handlebars better lighting would have helped me avoid the ramp althoug,1.0
101,walking west on the road that connects north gate to the library of social welfare cyclist approached from behind at a high rate of speed and clipped my arm with his handlebar,4.0
102,i was crossing the street and the two cars closes to me did stop however the car in the third lane did not stop and i brushed with it as i was crossing the street and the car came to a very very sudden stop,3.0
103,there were lots of people and in an effort to avoid everyone i hit a rut in the path and had to jump off my bike,4.0
104,he opened his car door without looking and i could not stop in time i got thrown off my bike by his car door onto my back,2.0
105,hit by biker we both fell down,1.0
106,i was backing out of my driveway and tapped a person was going about 2 mph,1.0
107,i stopped at an intersection and tried to balance myself but just fell over,3.0
108,heading from gianinni to wurster going across harmon way in front of vlsb this is a common area for pedestrian congested pathways and i have seen other cyclists run into problems as well,4.0
109,i was riding my bike from giannini to wurster and just after crossing strawberry creek by faculty glade pedestrians were taking most of the path to the left and a skateboarder coming from the opposite direction was attempting to go around them and couldn,4.0
110,i was biking home late at night there was a pothole in the bike path that was not illuminated at the time the pothole was near moffit library and vlsb i emerged from around a bend and i rode right over the pothole and lost control of my bicycle and i,4.0
111,i was biking southward down the steep path indicated toward faculty glade and i saw many students in the path ahead i wanted to go down but i since the path was steep down the bridge i knew i could not stop in time so i instead turned onto the soil at,1.0
112,this actually happened twice to me basically i was crossing piedmont avenue at bancroft a car would be stopped at the stop sign i would be crossing and then s he would begin acceleration and slightly move forward and hit me fortunately in both cases,3.0
113,this actually happened twice to me basically i was crossing piedmont avenue at bancroft a car would be stopped at the stop sign i would be crossing and then s he would begin acceleration and slightly move forward and hit me fortunately in both cases,3.0
114,i was biking home from class on the street and my front tire fell off my bicycle causing me to flip over the handlebars and land on the concrete,2.0
115,cyclist riding in a no ride zone through sproul plaza going fast on a rainy day said his brekes were bad,0.0
116,cyclist ran red light on college ave at high speed i was crossing on haste st and swerved i hit his back tire,3.0
117,i was heading to class on campanile way towards the bell tower i was at the end of campanile way about to cross south hall road there was a lot of people walking around and i saw the cyclist going along south hall road so i decided to stop to let him go,4.0
118,walking to school i had right of way driver did not pay attention driver had a dog in her lap,3.0
119,cyclist just ran into me at slow speed,0.0
120,not serious heavy congestion on piedmont bike lane obstructed by shuttle bus at stop i was going to go around it but forced to stop short due to a large vehicle truck coming up from behind stopped in contact with shuttle bus hardly would describe as,2.0
121,this was not necessarily an accident per se but rather the car was speeding through a yield intersection and almost hit me i hit the car with my hand to propel me out of the way fortunately i was not hurt,3.0
122,a cyclist bumped into me from behind as i was walking on the sidewalk at the intersection on college and bancroft on the campus side i was going into kroeber hall,1.0
123,trying to cross at crosswalk vehicle appeared to stop for me so i began to cross but then the car started again and i had to stop suddenly falling off my bike,3.0
124,i was walking back to bowles and this cyclist hit me spot on he flipped off his bike but i was okay,4.0
125,i was crossing the street at a major crosswalk eastbound on bancroft from subway sandwiches to american apparel a student on a skateboard did not stop and wanted to cruise straight across to sproul hall slowed a little and still crashed into me,3.0
126,biking towards parking structure on my way to a final the road was wet it was raining and the wheels skidded and i crashed into the bike parking structure,1.0
127,i was walking out of a class from latimer building and walking towards home 4 00 pm after passing the moffit library i was just walking with several people surrounding me and a bike hit me run over me and then left the person that hit me do not even s,1.0
128,near wurster i was going home,4.0
129,riding down a steep hill towards upper sproul from the wurster morrison area on the bike pedestrian path pedestrian began running into the path of my bike just as i approached leaving me almost no time to react he was not paying attention i guess,4.0
130,slippery road caused me to hit curb and fall,4.0
131,someone opened their car door while i was riding by on my bicycle causing me to fall,2.0
132,crossing the street in front of another car and the car beside the one i was crossing did not see me crossing at all the vehicle is front bumper barely touched my leg,3.0
133,cyclist rode through a red light when pedestrians were already walking in the crosswalk,3.0
134,i was approaching a stop sign either on ellsworth or dana whichever has the stop on my bike going west on channing i was in the bike lane another cyclist had stopped at the stop sign for a very long time there was a car to the cyclists left but,2.0
135,one of the main problems with being a cyclist around pedestrians is when pedestrians stop moving because they see you coming then you have no idea when or in what direction they will choose to start to walk again i was riding my bike in the street a,3.0
136,i as crssond the road in an intersection and i hit a concrete lines separator i felt badly since i was riding my bike too fast,3.0
137,car followed the one ahead of it through a 4 way stop when i hd right of way,3.0
138,crashed my bike and wrenched my thumb and had a major contusion on leg,1.0
139,westbound on center i stopped for a red light at shattuck car behind me did not stop soon enough and made minor contact with my rear wheel profuese apology offered accepted,3.0
140,walking across campus,4.0
141,while i was walking west on the north side of the street at durant and telegraph a bike rider was on the side walk going south on telegraph we both came around the corner at the same time so the biker braked quickly grazed me flipped over the handle,1.0
142,crossing the intersection cyclist failed to yield to stop sign and clipped me the cyclist fell over everyone was fine,3.0
143,i heard a cyclist say watch out and i turned my head to see the cyclist on the left side and as i moved to the right he also moved to the right to avoid hitting me and others his bike handle got stuck to the string of my backpack and pulled me backwards,1.0
144,i was crossing the street at dwight and benvenue and came out from behind a parked car and was hit by a passing cyclist,0.0
145,i was crossing shattuck ave in the pedesttrian crossing lane when i was knocked down by a cyclist i was not hurt but ever since i have been wary of cyclists and worry about how fast they ride on the central campus weaving around pedestrians,0.0
146,i was biking to campus on college heading north i got to the intersection and began biking uphill past tdx the frat and a young man opened his vehicle door into me,2.0
147,i was biking down the hill and hit a part of the sidewalk that was raised it was covered with grass and leaves so i did not realize that i was going to fall,1.0
148,intersection hearst and oxford i was turning left from turn lane i had right of way oncoming car did not see me i was returning home from school,3.0
149,on roadway on campus where there is no sidewalk and a student on her phone abruptly stopped in the middle of the road i primarily commute to school by bike and it is frustrating that students are often on the road and often on their phones,0.0
150,i was come down bancroft way to enter the tennis court parking structure as i slowed down to turn right into the parking structure drive way the biker outside my line of sight was descending behind me down the grade to the right of my car i did not s,1.0
151,student going too fast down campanile way clipped me from behind as i was coming back from lunch and then lost control and fell scraping themselves some,1.0
152,crossing street while going out to lunch on telegraph was slightly jostled and tripped and fell hitting hands on pavement and getting glass in palms,1.0
153,bicyclist approaching from behind without warning on a sidewalk hit my hand with my morning coffee,1.0
154,two college age bicyclists winding in and out of foot traffic on the sidewalk on telegraph they bumped me and another person from behind,1.0
155,elbow clipped by bicyclist who approached from behind while walking on the grinnell pathway,1.0
156,i was riding north on college ave towards bancroft after stopping at the stop sign and the cars on bancroft were stopped as well i began to ride across bancroft and was hit by a cyclist who was riding very fast and did not stop at the stop sign i did,3.0
157,i was crossing the street in crosswalk from vehicle is right vehicle was turning right at stop sign but never stopped until i banged on hood she was looking left to see car traffic did not look for pedestrian traffic from right did not stop at sidewal,3.0
158,i was crossing telegraph avenue mid block since it is a one way street i was looking in the direction of the oncoming traffic to make sure there was no traffic coming i did not see the bicycle approaching from the wrong direction and it hit me as i,0.0
159,walking to my parking lot and bike sped around a corner behind me striking my arm knocking my phone out of my hand the pathway was not very wide and he was headed downhill too fast,4.0
160,i was heading south on piedmont on the side of the road coming down the hill i was a little fast however the primary issue was that there was an amount of fine gravel and dust in the roadway which made me lose traction and slide onto the sidewalk at,2.0
161,the front brakes stuck and i went over the handlebars this took place in road i think i would have been safer had there been a bike lane but primarily the bike was to blame so i stopped using that bike soon afterwards,2.0
162,caught my pedal on the roadway making a hard left turn from shattuck onto berkeley way on the way to work flipped and came down hard no one is fault but my own,2.0
163,i was traveling south on college toward haste on my bike and a cyclist passed me with great speed to my right side it caused me to tip to the left where a car was very close to the bike lane scraped against my bike,2.0
164,was carrying a paper in my hand while biking when it started to blow away i hit the brakes too hard and went down,2.0
165,i had pulled into the intersection too far and was backing up my car slowly to stop blocking the crossways i was going very slowly when a girl suddenly emerged from behind the parked cars not going in the intersection it just a hey im here situatio,3.0
166,i was riding down the street and my bike chain slipped off my chain ring in the back it had loosened up over time and i did not tighten up my hub so it slipped off locking up and making me fall i wiped out a car behind me stopped a pedestrian i was,2.0
167,i fell down the stairs that are on the north side of the stadium because the railing was not usable i did not report it to the police b c i was not injured but i did report it to someone on campus and they fixed the stairs,0.0
168,a uc van was parked across the road at university drive and south hall road i attempted to bike around it but there was not enough room and my handlebars hit the side of the van no damage,2.0
169,i was biking down south drive and went to turn right on university drive when a pedestrian who had just posed for a picture stepped off the sidewalk without looking right into my bike thankfully i braked and did not run her over she was not paying attent,2.0
170,the pavement on the roadway on south drive near the chemistry and chemical engineering library has a deep grove in it right where the road meets the sidewalk since there is vehicle and pedestrian traffic on that road all the time it is difficult to bike,2.0
171,i was emerging from the driveway loading dock area behind barker hall at the corner of hearst oxford st on my bicycle when a bicyclist who was heading west downhill on hearst on the wrong left hand of the road at a high rate of speed slammed on hi,1.0
172,i was cycling south on walnut st on the right hand side of the road as i passed by the peete is coffee just beyond the intersection of walnut and vine st the driver of a parked car who by her own admission paid no attention to whether there were an,2.0
173,i had been walking to class when the cyclist rode into me from behind,1.0
174,i got hit by a car,3.0
175,walking between giannini and calif hall a bike zoomed behind me and bumped me but did not fall himself too fast no bike lane and students in a hurry minor accidents happen here often,4.0
176,starting to cross campus near moffit library student was racing across campus and swerving among pedestrians,4.0
177,riding slowly near moffit bike came from near calif hall pedestrian group expanded and we both swerved to miss them that area near coffee shop is dangerous bikes often go too fast but pedestrians also do not pay attention,4.0
178,pedestrian cycling path was busy with pedestrians i was coming down the hill on a bike and the other cyclist was walking their bike up i went on the right side of the path and the other cyclist moved the left maneuvering into my path and we collided,4.0
179,hit the right side of a car when it was making a right turn into a parking structure without signaling,2.0
180,i began turning right to enter the covered lot east of hearst gym and suddenly the cyclist hit the right side of my car and landed on the street in front of me an ambulance soon arrived and i assume he was taken to the er the police asked whether i,2.0
181,was going to class at 930 am i stopped at the intersection of a 4 ways stop sign she was crossing the road illegally between cars which parked along the street couldnt see her cars blocked her she is about 5 1 she was eating popcorn and i hid her o,3.0
182,i was walking on the traffic way and the cyclist approached from the back of me i was trying to avoid him but his speed was high so we collided and i fell,3.0
183,i was walking on the way when the cyclist approached me from the behind,2.0
184,i was biking between two buses one of them moved while i was biking through and i got scared and my bike fell the bus had run over the rear rack of my bike as a result,2.0
185,i was riding around the corner turning left it was wet and had just rained and i turned just as i was riding over the wet metal plates so my wheels slipped out from under me and i fell,2.0
186,i was biking along the uneven pavement brick surface and my wheel caught causing the wheels to torque and i fell on my bike,1.0
187,i was riding down the bridge on a rainy day several pedestrians were walking in the opposite direction blocking the bridge i could not brake in time because the rain impeded the functionality of my brakes and so i slowly ran into the pedestrian who was,4.0
188,i was riding in the opposite direction as another cyclist who i knew and when we saw each other as we said hi he ran into another cyclist,4.0
189,grazed pedestrian on the bridge she did not yield when i said i was on her left and did not fully understand me,1.0
190,was going home fell off bike on the way down the hill next to pimentel because of poor lighting and uneven roadway had to go to hospital for fractured arm and concussion,2.0
191,bicyclist was riding down a multi use path at high speed in the early darkness rain caused the path to be slick the cyclist upon noticing me slammed on his brake but still skidded into me knocking me about a foot away resulted in a minor bruise,4.0
192,when turning the corner just southwest of the campanile my tire caught in one of the cracks in the pavement on the road and i hit the ground hard the skin of three knuckles were completely ripped off i broke one finger and of course got road rash,2.0
193,the car had stopped at the stop sign at the intersection as i started walking across the designated crossing area i noticed the driver had his head turned away from me looking at female walking on the sidewalk he then started driving forward while st,3.0
194,i was walking on the pathway when a cyclist ran into me he admitted that he was the guilty party and apologized,4.0
195,biker was on sidewalk and almost ran straight into me as the tried to pass someone walking the other way they started to break and i grabbed their handlebars to prevent the bike from hitting me,1.0
196,was walking in between doe and moffit libraries and biker cut in front of me to avoid hitting someone else,4.0
197,cyclist blew through a stop sign while i was in the cross walk,3.0
198,i fell while riding in a group of cyclists after swerving to avoid a pothole i scraped my leg up,2.0
199,driver decided to make a last minute right hand turn and did not check to see if there was someone me in the bike line before making an abrupt right turn in front of me there was not enough room time to stop and so i collided into the vehicle,3.0
200,vehicle turned right as i was crossing the road at the intersection causing me to hit the passenger door of the vehicle i chased him down to the next light to get the license number and report it he slammed on the brakes causing me to impact the back of,3.0
201,i was doored driver opened door quickly as i was passing by did not have time to apply brakes,2.0
202,in cross walk crossing oxford from addison cars do not yield to people in this crosswalk a great deal had to move out of way also say a lady with a baby stroller almost run down by a car in this crosswalk very dangerous,0.0
203,in crosswalk walking across oxford from addison cars constantly run this cross walk and it is very dangerous,0.0
204,cyclist elected not to sick medical attention,2.0
205,i was riding with a bag on my upper arm i had to break suddenly and the bag slipped down my arm and got caught between the front fork and the rim i was going around 12 14 mph the bike stopped suddenly and flipped over i landed on my face,2.0
206,while walking to work throuhg campus going uphill person on bike was coming downhill walk way was crowded with other people walking person on bike was trying to avoid hitting people but succeeded in running into me,4.0
207,heading west on bancroft went to turn right on the the haas pavilion pathway and slipped on the wet pavement going too fast on a wet road while making a 90 degree turn landed on my back pack and bruised my leg w the handle bar,0.0
208,walking to class on a wide path way and staying to the right to allow room for traffic biker behind me and decides to squeeze more to the right between me and a wall rather than using the rest of the wider path bike hits and runs up my ankle leg and sid,4.0
209,bicyclists often ignore traffic laws,3.0
210,1 bridge over creek is too narrow 2 heavy new student foot traffic causing obstruction 3 dirt on west side of bridge often is wet tree debris 4 slid out during emergency stop to avoid student,4.0
211,vehicle turning from bancroft into mlk parking garage did not pay attention to pedestrians crossing the parking lot entrance in the crosswalk i was one fo the pedestrians crossing the crosswalk i was able to mostly evade the vehicle before it hit me s,3.0
212,was crossing walkingin the street on a protected cross and a biker hit me,3.0
213,while three lanes of traffic stopped for me a van decided to jump the fourth close enough that i was able to slap the side of the van as breezed in front of me,3.0
214,bicyclist struck me and another woman while heading at high speed down the path we all went down he picked up his pick flipped us of calling us assholes and carried on his way with a slightly bent wheel,4.0
215,crowded shared path inexperienced rider that ran into me too much speed coming down small hill,4.0
216,hill too much speed and inexperienced rider on shared path too many people on path to get out of the way,4.0
217,why bother this survey is biased towards the idiot bikes bike riders should be required to take a driving test they should be ticketed when disobeying the law,1.0
218,why bother this survey is biased towards the idiot bikes,2.0
219,i am sick and tired of bikes riding in the crosswalk my car maintained 1700 in rear end damage because i stopped for one of these idiots and the person behind me did not,0.0
220,i am sick and tired of bikes on the sidewalk and in the crosswalks with no regard for pedestrians there is never any enforcement by uc or city police,1.0
221,i am sick and tired of idiot bikes on the sidewalks ignoring all common sense and traffic regulations,1.0
222,riding down claremont avenue i saw a car at the woolsey intersection that did not make a clear stop at a stop sign perhaps she was going to stop but i could not tell for certain i broke hard as i hit pavement with a depression around a manhole and cr,2.0
223,car in front of me stopped suddenly and i was too close,2.0
224,pedestrian crossed the street mid block on a diagonal at the last moment rather than continuing to the curb the pedestrian straightened his path and stayed in the street i broke hard to avoid hitting him he was wearing earbuds,2.0
225,i was on my way to class and trying to ride my bike onto part of a driveway on the sidewalk but the angle i attempted to ride caused my tires to not follow where my body was going so essentially i fell forward onto the wet pavement,1.0
226,i was riding south on shattuck crossing woolsey the car that hit me was going north on shattuck making a left onto woolsey there were other cars going south on shattuck beside me they went thru the intersection first and i followed the car thought it,3.0
227,i was walking on the path and the cyclist came perpendicularly on his path i saw him and stopped so he could go around but he was going too fast and slammed directly into me sending me sprawling i hid my head and elbow on the ground and scuffed my com,4.0
228,walking home from campus during lunch crossed street did not see cyclist due to passing van which blocked view once we saw each other neither was sure which way to go,0.0
229,i was crossing the crosswalk outside strada intersection and out of nowhere the cyclist just rode his bicycle right in front of me making me to have a sharp stop myself,3.0
230,same as accident 1 i was crossing the crosswalk outside strada intersection and out of nowhere the cyclist just rode his bicycle right in front of me making me to have a sharp stop myself,3.0
231,on my way to work while i was making a left turn from dwight onto bowditch a bicyclist traveling sb in the sb lane abruptly changed to the nb lane while still moving sb i swerved and braked to avoid him and came to a stop in a parking space the cyclis,3.0
232,while parking arriving for work i was trying to park on the ns of north sproul lot and was signaling due to pedestrians i was moving slowly and was almost completely parked when a cyclist ran into the rear right tire area of my car he stated he was go,0.0
233,i was the first bicycle waiting at the red light on dana to cross haste i was on the right side of the rightmost lane a cyclist pulled up on my left and entered the crosswalk it appeared he intended to blow the red light if traffic cleared the lig,2.0
234,my bike was parked on campus near sproul hall and someone must have tampered with my handlebars because they were very loose and when i got on my bike and tried to use the brakes my handlebars flipped down and i flipped over my bike and fell i did not le,1.0
