OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,nearmiss narrative,police,unsafe location mode,unsafe location time of day,unsafe location cause,unsafe location narrative,safe location mode,safe location cause,safe location narrative,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
11,unsafe,,,,,,,,,,,,bike,both,"driving-speed, car-traffic, poor-lighting, no-sign, obstacle",The bike lane ends abruptly without warning to car drivers or bike riders. The street funnels bicyclists into the general travel lane in an unsafe and unpredictable manner. ,,,,,,,,,,10/1/2018,35.37272723,-119.019971,Point,"[-119.019971000447,35.3727269999167]"
12,unsafe,,,,,,,,,,,,"walk, bike, transit",both,"driving-speed, car-traffic, poor-lighting, intersection",Right turning vehicles do not give pedestrians the right of way during the ped signal.,,,,,,,,,"1565 White Ln, Bakersfield, California, 93307, USA",10/1/2018,33.80289306,-117.993089,Point,"[-117.993088999951,33.8028929999142]"
13,unsafe,,,,,,,,,,,,"walk, bike",both,"driving-speed, car-traffic, intersection","Very confusing and large intersection. Scary! Its just a sprawling, wide inhospitable section, with extremely wide roads and fast traffic.  ",,,,,,,,,"1517 21st St, Bakersfield, California, 93301, USA",10/1/2018,37.31504283,-121.897844,Point,"[-121.897844000199,37.3150429996847]"
14,nearMiss,Jun-18,walk,day,driver,,none,,,no-yield,,no,,,,,,,,,,,,,"2000 Oak St, Bakersfield, California, 93301, USA",10/1/2018,35.34667558,-119.021242,Point,"[-119.021241999794,35.3466760001337]"
15,nearMiss,Apr-18,walk,day,driver,,none,,,"no-yield, ignore-sign",,no,,,,,,,,,,,,,"1220 Oak St, Bakersfield, California, 93304, USA",10/1/2018,35.31757747,-119.020801,Point,"[-119.020800999753,35.3175770001311]"
16,nearMiss,Jun-18,bike,day,truck,,none,,,no-yield,"I was cycling eastbound on 21st and as I entered the intersection at Chester, with a green light, a pickup truck making a left turn from 21st to head south on Chester almost hit me in the intersection. ",no,,,,,,,,,,,,,"4412 Tierra Verde St, Bakersfield, California, 93301, USA",10/1/2018,35.378127,-119.0188542,Point,"[-119.018854000189,35.3781269997436]"
17,nearMiss,Jun-18,other,day,object,,none,,,obstacle,There should be better access to the park on this side of the street for neighborhood access. ,no,,,,,,,,,,,,,"1380 Harbor Island Dr, San Diego, California, 92101, USA",10/1/2018,35.3781507,-119.0385282,Point,"[-119.038527999633,35.3781510003458]"
18,nearMiss,May-18,walk,night,driver,,none,,,"no-yield, unsafe-speed",Walking with a friend at night going north and two separate cars almost hit us turning right onto Truxtun on a red light while it was a pediastrian walking light. One car even yelled at us like it was our error. ,no,,,,,,,,,,,,,"1300 Torrey Pines Rd, La Jolla, California, 92037, USA",10/1/2018,35.3734599,-119.038671,Point,"[-119.038670999748,35.3734600001713]"
19,unsafe,,,,,,,,,,,,bike,both,"intersection, other",The bike lane ends. The intersection is huge. ,,,,,,,,,"909 18th St, Bakersfield, California, 93301, USA",10/1/2018,35.37786,-119.0018869,Point,"[-119.001887000192,35.3778599998873]"
20,nearMiss,Jun-18,bike,day,driver,,none,,,other,Obstructed view into the turn ( Bridge ) causes drivers to be startled by a bicycle in the bike lane.  There is a on and off ramp close together and many drivers speeding .,no,,,,,,,,,,,,,"314 Plymouth Ave, Bakersfield, California, 93308, USA",10/1/2018,35.4120638,-119.0126721,Point,"[-119.012672000118,35.412064000287]"
21,nearMiss,Jun-18,bike,day,driver,,none,,,ignore-sign,Many people move into the bike lane here and nearly hit bicyclists . Including me...,no,,,,,,,,,,,,,,10/1/2018,35.39965791,-119.0036603,Point,"[-119.003659999678,35.3996580000987]"
22,incident,Jun-18,walk,night,driver,,none,ignore-sign,I was riding in the crosswalk from a bike path when a vehicle driver drove through a red left turn arrow and struck the rear wheel of my bike.,,,yes,,,,,,,,,,,,,"4300 Fruitvale Ave, Bakersfield, California, 93308, USA",10/1/2018,32.72927928,-117.1952651,Point,"[-117.195265000155,32.7292789999566]"
23,positive,,,,,,,,,,,,,,,,"walk, bike","safe-speed, good-sidewalk",,,,,,,"3412 Camden St, Bakersfield, California, 93306, USA",10/1/2018,32.84483144,-117.2700141,Point,"[-117.270013999999,32.8448310001471]"
24,positive,,,,,,,,,,,,,,,,"walk, bike","good-sidewalk, good-lighting, good-sign, clear-sign",,,,,,,"251 Panorama Dr, Bakersfield, California, 93305, USA",10/1/2018,35.37521949,-119.0123326,Point,"[-119.012333000184,35.375219000171]"
25,unsafe,,,,,,,,,,,,walk,night,"poor-lighting, intersection",It is very dark here at night and the cross walk is difficult to see. People regularly cross the street at night after church and I am worried there will be an accident.,,,,,,,,,"16125 Widmere Rd, Arvin, California, 93203, USA",10/1/2018,35.40867549,-119.0254702,Point,"[-119.02546999973,35.4086749997566]"
26,nearMiss,Nov-17,walk,day,driver,,none,,,"distracted, ignore-sign","
Sheriff officer almost didn’t stop (quick stop), he tried to act like the pedestrians (me and my friend) were at fault, but he was at fault ",no,,,,,,,,,,,,,"3730 K St, Bakersfield, California, 93301, USA",10/1/2018,35.37821427,-119.0030195,Point,"[-119.003020000344,35.3782139996953]"
27,unsafe,,,,,,,,,,,,walk,both,"driving-speed, poor-lighting, other","There was a stolen car. This is generally a dark area, I feel unsafe going to my neighborhood gym. ",,,,,,,,,,10/1/2018,35.39978565,-119.0743217,Point,"[-119.074322000051,35.3997860000604]"
28,unsafe,,,,,,,,,,,,walk,both,"driving-speed, intersection","Wide street with high speeds, hard to cross university ave without a designated crosswalk",,,,,,,,,"1930 R St, Bakersfield, California, 93301, USA",10/1/2018,35.40510344,-118.9454745,Point,"[-118.945475000323,35.405102999908]"
29,nearMiss,Apr-18,drive,day,ped,,none,,,"distracted, ignore-sign","Someone was crossing against the light, all cars stopped for the person",yes,,,,,,,,,,,,,"100 E California Ave, Bakersfield, California, 93307, USA",10/1/2018,35.375706,-119.0027973,Point,"[-119.002796999863,35.3757059997341]"
30,unsafe,,,,,,,,,,,,bike,both,poor-street,"In several areas on Panorama where the bike lane limit line is painted on the roadway, the pavement has has become unstable and created holes that could cause a crash.",,,,,,,,,"4180 Park Blvd, San Diego, California, 92103, USA",10/1/2018,35.40555882,-118.9966688,Point,"[-118.996669000218,35.4055589996673]"
31,nearMiss,Feb-18,walk,day,driver,,none,,,"distracted, ignore-sign",Other driver failed to yield to stop sign on Derby Street,no,,,,,,,,,,,,,,10/1/2018,35.20918056,-118.8237483,Point,"[-118.823747999926,35.2091809998576]"
32,nearMiss,Jun-18,drive,day,ped,,none,,,ignore-sign,,,,,,,,,,,,,,,"2101 Mt Vernon Ave, Bakersfield, California, 93306, USA",10/1/2018,35.39429851,-119.017134,Point,"[-119.017134000406,35.3942990000102]"
33,incident,Jun-18,drive,day,driver,,none,"no-yield, unsafe-speed, distracted, ignore-sign","Multiple times a month, with this incident on 6/8 being the closest and most recent, drivers will run the red light going northbound on Morning Dr as cars are turning left from the Hwy 178 off-ramp onto Morning Drive. Most who run it are in the #3 lane. ",,,no,,,,,,,,,,,,,"68855 Opperman Rd, Desert Hot Springs, California, 92240, USA",10/1/2018,35.39547731,-118.9131465,Point,"[-118.913147000308,35.3954769997898]"
34,nearMiss,Jun-18,drive,day,"driver, ped",,none,,,"no-yield, unsafe-speed","At 21st and Chester Ave a vehicle ran a red light going west through Chester.Also, there was a pedesrian who disregarded the walk signs and crossed against traffic. Both incidents were illegal.",no,,,,,,,,,,,,,"18 S Chester Ave, Bakersfield, California, 93304, USA",10/1/2018,35.37674164,-119.0093983,Point,"[-119.009398000233,35.3767420002648]"
35,incident,May-18,bike,day,driver,,minor,"no-yield, distracted",I was riding and a car turned right and cut me off. My bike was damaged. I have been hit like this before. I don’t like riding on Union. ,,,no,,,,,,,,,,,,,"19 Brookdale Ct, Lafayette, California, 94549, USA",10/1/2018,35.36999614,-119.0026053,Point,"[-119.002605000242,35.3699959996534]"
36,nearMiss,Jun-18,bike,day,driver,,none,,,"unsafe-speed, other","Single lane becomes too narrow for side by side sharing. Motorist moving fast approached from behind me. My outstretched left arm warned him to stay behind. ... at the last minute. At the next red traffic light, he expressed displeasure.",no,,,,,,,,,,,,,,10/1/2018,32.75488059,-117.1464199,Point,"[-117.146420000405,32.7548810002911]"
37,nearMiss,Jun-18,drive,day,driver,,none,,,ignore-sign,Driver mad an unsafe turn in front of my vehicle,no,,,,,,,,,,,,,"1810 University Ave, Berkeley, California, 94703, USA",10/1/2018,35.13676157,-119.4473896,Point,"[-119.44739000013,35.1367619997461]"
38,unsafe,,,,,,,,,,,,bike,both,"driving-speed, no-sidework",,,,,,,,,,"440 Grand Ave, Oakland, California, 94610, USA",10/1/2018,33.26141784,-117.1418512,Point,"[-117.141850999986,33.2614180001269]"
39,nearMiss,Jun-18,bike,day,driver,,none,,,unsafe-speed,I was riding bike southbound on Farrell when female driver in SUV passed me at high speed and very close within 1 foot. ,no,,,,,,,,,,,,,"5688 Telegraph Ave, Oakland, California, 94609, USA",10/1/2018,33.81607635,-116.518101,Point,"[-116.518100999827,33.8160759998645]"
40,unsafe,,,,,,,,,,,,"walk, bike, skateboard, wheelchair, transit","day, night, both","driving-speed, car-traffic, intersection",Cars do not stop for the pedestrian cross walk,,,,,,,,,"815 San Pablo Ave, Pinole, California, 94564, USA",10/1/2018,35.38687851,-118.967397,Point,"[-118.96739699963,35.3868789998342]"
41,nearMiss,Jun-18,bike,day,driver,,none,,,,Driver was using cell phone. Almost side swiped me. Had interactions with him and he admitted using phone.,no,,,,,,,,,,,,,"1917 Martin Luther King Jr Way, Berkeley, California, 94704, USA",10/1/2018,33.93310591,-116.459198,Point,"[-116.459198000422,33.9331060002142]"
42,incident,Jun-18,walk,day,driver,,none,other,,,,no,,,,,,,,,,,,,"1417 1st Ave, Oakland, California, 94606, USA",10/1/2018,34.80001081,-118.2348633,Point,"[-118.234863000247,34.8000109998683]"
43,incident,Jun-18,drive,day,,,sev,"poor-sidewalk, distracted, other",,,,no,,,,,,,,,,,,,"2223 Ashby Ave, Berkeley, California, 94705, USA",10/1/2018,33.82469305,-117.877809,Point,"[-117.877808999939,33.8246929998276]"
44,incident,Mar-16,drive,night,driver,,minor,"poor-lighting, distracted, unsafe-speed",A car passed the red light going east while the green light for the opposite traffic to turn left was on. ,,,yes,,,,,,,,,,,,,"1299 Delaware St, Berkeley, California, 94702, USA",10/1/2018,35.34881849,-119.1273796,Point,"[-119.127379999669,35.348818000194]"
45,nearMiss,Jun-18,bike,day,driver,,none,,,"no-yield, unsafe-speed, distracted",In the bike lane crossing Horton Street and the car went right in front of me as I was biking. We both had a green light and I had to slam on my brakes right in front of him to not hit him. ,no,,,,,,,,,,,,,"1223 Masonic Ave, Albany, California, 94706, USA",10/1/2018,37.829457,-122.287572,Point,"[-122.287572000128,37.829457000105]"
46,nearMiss,Jun-18,bike,night,truck,,none,,,no-yield,No bike lane on narrow bridge. Truck driver blew his horn and did not provide 3 foot space,no,,,,,,,,,,,,,"1600 E 4th St, Long Beach, California, 90802, USA",10/1/2018,35.407464,-119.0096204,Point,"[-119.009619999991,35.4074639997124]"
47,nearMiss,Jun-18,bike,day,object,,none,,,obstacle,Really dangerous drain grate with large slots to catch bicycle wheels. My bicycle wheel got caught in the drain grate and was bent. I almost crashed. If I crashed I probably would have been thrown in the lane of traffic and run over. :(,no,,,,,,,,,,,,,"730 W Olympic Blvd, Los Angeles, California, 90015, USA",10/1/2018,35.353377,-119.0189003,Point,"[-119.01890000022,35.3533770002917]"
48,incident,Sep-15,bike,day,driver,,minor,"no-yield, unsafe-speed, distracted, other",Car passed me going really fast to cut me off making a right turn. They applied the brakes while blocking the bike lane next to the right turn o my lane and I ran into the back of the car. bikelane is too narrow and the car drivers ignore the bicyclists. ,,,no,,,,,,,,,,,,,"5640 Sepulveda Blvd, Culver City, California, 90230, USA",10/1/2018,35.35470366,-119.0613223,Point,"[-119.061321999874,35.3547040002221]"
49,incident,Jul-17,bike,day,driver,,none,"no-sign, obstacle, no-yield",The bike lane is too close to the curb and drivers of cars ignore them. The bike lane ends abruptly and funnels the bicyclists into the general travel lane without any warning. ,,,no,,,,,,,,,,,,,,10/1/2018,35.37253477,-119.0211317,Point,"[-119.021132000189,35.3725350003056]"
50,unsafe,,,,,,,,,,,,walk,both,"driving-speed, intersection",Drivers don't stop at for pedestrians using this crosswalk,,,,,,,,,"10217 Venice Blvd, Los Angeles, California, 90034, USA",10/1/2018,35.379585,-119.0163683,Point,"[-119.016367999777,35.3795849999319]"
51,unsafe,,,,,,,,,,,,"walk, bike, skateboard, wheelchair",both,"no-sidework, poor-street, no-sign, other","The road abruptly narrows on the northbound side - no shoulder, pot holes, uneven surfaces and poor signage. Several vehicle accidents have occurred here and it is just unsafe the area needs to be addressed",,,,,,,,,"723 W Temple St, Los Angeles, California, 90012, USA",10/1/2018,35.387109,-119.1455098,Point,"[-119.145509999956,35.3871089996462]"
52,unsafe,,,,,,,,,,,,bike,both,"driving-speed, car-traffic, obstacle",Bike path in both directions is covered in gravel or asphalt pebbles.,,,,,,,,,"501 N Beaudry Ave, Los Angeles, California, 90012, USA",10/1/2018,35.41839824,-119.012725,Point,"[-119.012724999821,35.4183980000232]"
53,positive,,,,,,,,,,,,,,,,"walk, bike, transit","safe-speed, car-traffic, good-sidewalk, good-lighting, good-sign, clear-sign, no-obstacle, intersection",I live here and the street is well regulated.,,,,,,,10/1/2018,37.84221311,-122.2953364,Point,"[-122.29533599989,37.8422130000667]"
54,unsafe,,,,,,,,,,,,walk,both,"driving-speed, car-traffic","Needs a stop light or flashing crosswalk lights.  Cars often don't stop for us in this intersection, even when we are half way across.",,,,,,,,,,10/1/2018,37.839853,-122.2873481,Point,"[-122.287347999822,37.8398530001535]"
55,incident,Mar-18,bike,day,driver,,none,other,I was biking East on 53 St (bike ave). The driver was double parked. As I rode by she pulled into the street and hit me.The driver was dropping off their child to school and was not paying attention as they pulled out into the street.,,,yes,,,,,,,,,,,,,"1101 Smith St, Norfolk, Virginia, 23510, USA",10/1/2018,37.836955,-122.2827278,Point,"[-122.282728000248,37.8369550002251]"
56,unsafe,,,,,,,,,,,,walk,night,"driving-speed, no-sidework",,,,,,,,,,"2249 N Humboldt Blvd, Milwaukee, Wisconsin, 53212, USA",10/1/2018,37.88518496,-122.1089186,Point,"[-122.108919000026,37.8851850000039]"
57,unsafe,,,,,,,,,,,,bike,both,"car-traffic, no-sign, intersection",There is no easy continuation of the bike lane from here except hiking up hill via the parking lot of the Golden Gate field and the road is very bumpy and cracked in the parking lot.,,,,,,,,,"2149 Morello Ave, Pleasant Hill, California, 94523, USA",10/1/2018,37.8780081,-122.3079216,Point,"[-122.30792199979,37.8780079996474]"
58,unsafe,,,,,,,,,,,,"walk, bike",night,"driving-speed, car-traffic, poor-lighting",,,,,,,,,,"1711 S 35th St, Milwaukee, Wisconsin, 53215, USA",10/1/2018,37.87121997,-122.2750599,Point,"[-122.275059999848,37.8712199997068]"
59,positive,,,,,,,,,,,,,,,,walk,good-sign,Recent improvements here make me feel safe when I cross the street.,,,,,,"5800 Christie Ave, Emeryville, California, 94608, USA",10/1/2018,37.80872868,-122.2527716,Point,"[-122.252771999945,37.8087290001349]"
60,nearMiss,Oct-12,bike,day,driver,,none,,,no-yield,Vehicle coming off of freeway almost didn’t stop. Light had just turned red and they were hoping to zoom through before cross traffic started going. ,,,,,,,,,,,,,,"4050 Horton St, Emeryville, California, 94608, USA",10/1/2018,37.84166997,-122.261689,Point,"[-122.26168899995,37.841670000123]"
61,nearMiss,10/2/2018,walk,day,driver,,none,,,unsafe-speed,I was in the crosswalk and a driver must not have seen me. Speeds on this street can be over 40mph and hard for drivers to see pedestrians in crosswalk as they come around a slight curve. But driver was also speeding.,,,,,,,,,,,,,,"5800 Shellmound St, Emeryville, California, 94608, USA",10/1/2018,38.00505475,-122.308001,Point,"[-122.308001000331,38.0050549996701]"
62,nearMiss,Jun-16,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,,,,"5800 Shellmound St, Emeryville, California, 94608, USA",10/1/2018,37.87251029,-122.273077,Point,"[-122.273077000299,37.8725100001516]"
63,nearMiss,Sep-18,walk,day,bike,,none,,,no-yield,,,,,,,,,,,,,,,"328 Pacific Ave, Alameda, California, 94501, USA",10/1/2018,37.798686,-122.257206,Point,"[-122.257205999745,37.7986859997178]"
64,nearMiss,10/11/2018,bike,night,bike,,none,,,poor-lighting,Walked through intersection ,,,,,,,,,,,,,,"1604 Delaware Ave, Santa Cruz, California, 95060, USA",10/1/2018,37.85589065,-122.262411,Point,"[-122.262411000198,37.8558909998263]"
65,nearMiss,1/26/2018,bike,day,driver,,none,,,no-yield,It was raining very hard and I had the right of way at a four-way stop intersection.  A vehicle nearly hit me while I was biking through the intersection. The driver looked like he didn't see me,,,,,,,,,,,,,,,10/1/2018,37.8781728,-122.271444,Point,"[-122.271443999656,37.8781730001068]"
66,nearMiss,10/12/2018,bike,day,driver,,none,,,"no-yield, unsafe-speed",Car driver blew through bike/pedestrian crossing right in front of me even though we were already in the crossing with the flashing lights going,,,,,,,,,,,,,,"1825 8th St, Berkeley, California, 94710, USA",10/1/2018,37.87247677,-122.286918,Point,"[-122.286917999651,37.8724770002469]"
67,unsafe,,,,,,,,,,,,"walk, bike","day, night","no-yield, driving-speed","This is a heavily used path crossing Santa Fe, but drivers have a hard time seeing/yielding ",,,,,,,,,"1571 Mission St, San Francisco, California, 94103, USA",10/1/2018,37.88255842,-122.290563,Point,"[-122.290563000155,37.882558000182]"
68,unsafe,,,,,,,,,,,,bike,"day, night",poor-bikelane,14th through downtown is terrifying on a bike,,,,,,,,,"700 Florida St, Suisun City, California, 94585, USA",10/1/2018,37.80499699,-122.272687,Point,"[-122.272687000312,37.8049970001616]"
69,incident,10/8/2018,walk,day,driver,,minor,no-yield,A pedestrian was crossing on the green light and a driver failed to yield while she was in the cross walk and turned right into her,,,yes,,,,,,,,,,,,,,10/1/2018,33.7716687,-118.171987,Point,"[-118.171987000275,33.7716690000562]"
70,nearMiss,10/17/2018,bike,day,driver,,none,,,no-yield,"drivers frequently run the red light to make right turns, causing near-miss right hooks for cyclists, and despite a clear no right on red"" sign """,,,,,,,,,,,,,,,10/1/2018,34.04489431,-118.263982,Point,"[-118.263981999777,34.0448939997951]"
71,nearMiss,7/18/2018,bike,day,driver,,none,,,"poor-bikelane, poor-street, unsafe-speed",A driver of a black 4-door jeep wrangler made a sudden lane change without signaling and passed my bicycle within an inch.,,,,,,,,,,,,,,,10/1/2018,33.99055148,-118.393794,Point,"[-118.393794000326,33.990551000369]"
72,positive,,,,,,,,,,,,,,,,bike,"good-bikelane, good-sign",I feel safe and actually enjoy riding on the stretch of Venice Blvd where the road diet has been implemented.,,,,,,,10/1/2018,33.99724128,-118.446384,Point,"[-118.446384000139,33.997241000306]"
73,incident,1/20/2018,bike,day,driver,,sev,car-door,The driver’s large pickup truck door swung open into the bike lane and clipped my right handle bar.  I was riding as far to the left of the bike lane as possible. ,,,no,,,,,,,,,,,,,"2910 Broadway, Oakland, California, 94611, USA",10/1/2018,34.0214747,-118.402363,Point,"[-118.402363000177,34.0214750001288]"
74,unsafe,,,,,,,,,,,,bike,day,"poor-bikelane, driving-speed",merging from the door-zone bike lane into the bike lane that goes along the underpass below temple is always hazardous as a cyclist. people are speeding and there is no good way to merge through the speeding lane of traffic. ,,,,,,,,,"2601 Telegraph Ave, Berkeley, California, 94704, USA",10/1/2018,34.06070417,-118.247365,Point,"[-118.247364999584,34.0607039998447]"
75,unsafe,,,,,,,,,,,,bike,day,"poor-bikelane, driving-speed",the southbound bike lane disappears and riders must navigate two speeding lanes of traffic to get to the left turn lane onto 3rd. ,,,,,,,,,"1925 Derby St, Berkeley, California, 94704, USA",10/1/2018,34.05592224,-118.25364,Point,"[-118.253640000439,34.0559219998186]"
76,unsafe,,,,,,,,,,,,bike,day,poor-street,I hit a pothole here while cycling southbound and was thrown over the handlebars of my bike. ,,,,,,,,,"2400 Sacramento St, Berkeley, California, 94702, USA",10/1/2018,34.06491289,-118.249654,Point,"[-118.249654000352,34.0649129998324]"
77,unsafe,,,,,,,,,,,,walk,day,"poor-sidewalk, driving-speed",no safe way to navigate this freeway overpass of a street. sidewalks disappear and pedestrians are stranded. only way to walk this area is to take skyways through the hotel,,,,,,,,,"2347 Spaulding Ave, Berkeley, California, 94703, USA",10/1/2018,34.05273252,-118.254719,Point,"[-118.254719000165,34.0527329999564]"
78,nearMiss,5/10/2017,bike,day,driver,,none,,,poor-bikelane,,,,,,,,,,,,,,,"1660 Short St, Berkeley, California, 94702, USA",10/1/2018,37.36151579,-121.975499,Point,"[-121.975498999682,37.3615159997574]"
79,nearMiss,Mar-18,bike,day,driver,,none,,,"poor-bikelane, no-yield, unsafe-speed","A driver taking a left across my path did not yield for me, and likely did not even see me. She took a sharp left onto Lindbrook and I managed to stop my bike just in time.",,,,,,,,,,,,,,"1941 N Texas St, Fairfield, California, 94533, USA",10/1/2018,34.05936275,-118.445662,Point,"[-118.44566199989,34.0593629997194]"
81,positive,,,,,,,,,,,,,,,,walk,"safe-speed, other",scramble,,,,,,"3087 Buckhaven Rd, Chino Hills, California, 91709, USA",10/1/2018,34.1016063,-118.338675,Point,"[-118.338675000443,34.1016060001284]"
82,incident,10/27/2018,scooter,day,scooter,,minor,"poor-bikelane, poor-street",I tripped over a crack while scootering and flew across the street,,,no,,,,,,,,,,,,,"1701 Martin Luther King Jr Way, Berkeley, California, 94709, USA",10/1/2018,37.81531737,-122.259028,Point,"[-122.259027999635,37.8153170000798]"
83,unsafe,,,,,,,,,,,,"walk, bike, wheelchair, ride","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-sign, obstacle, no-yield, driving-speed",,,,,,,,,,"1790 Franklin St, Berkeley, California, 94702, USA",10/1/2018,36.38512989,-119.218132,Point,"[-119.218132000312,36.385130000057]"
84,incident,Nov-15,bike,day,"driver, bike",,none,"no-yield, other",Car didn't stop at stop sign. ,,,no,,,,,,,,,,,,,,10/1/2018,37.72295056,-122.447449,Point,"[-122.447448999862,37.7229510000442]"
85,nearMiss,11/20/2016,bike,day,bike,,minor,,,"poor-street, other",storm drain grate upside down so bike tire got stuck in it. ,,,,,,,,,,,,,,,10/1/2018,37.77131352,-122.389381,Point,"[-122.389380999785,37.7713139996916]"
86,unsafe,,,,,,,,,,,,walk,"day, night",no-yield,Unmarked crosswalks at a high pedestrian crossing location. Drivers often exceeding speed limit.,,,,,,,,,,10/1/2018,38.572542,-121.49208,Point,"[-121.492079999859,38.5725420003425]"
87,incident,11/13/2018,bike,day,"driver, bike",,none,"poor-bikelane, unsafe-speed","Someone driving a minivan became aggressive because I took the lane on Ramona Blvd, between Baldwin Park and El Monte where the bike lane ends. She honked, revved her engine and sped away while trying to squeeze me into the corner.",,,no,,,,,,,,,,,,,,10/1/2018,34.07690864,-118.001299,Point,"[-118.001298999777,34.0769090003234]"
91,unsafe,,,,,,,,,,,,walk,"day, night",no-yield,This crosswalk is a major access point for 3 schools. It crosses 4 lanes without any controls to stop cars. ,,,,,,,,,,10/1/2018,37.96405571,-122.079744,Point,"[-122.07974400042,37.9640559999503]"
93,nearMiss,11/10/2018,bike,day,bike,,none,,,poor-bikelane,,,,,,,,,,,,,,,,10/1/2018,37.8414663,-121.93177,Point,"[-121.931769999797,37.8414659997224]"
94,unsafe,,,,,,,,,,,,"walk, bike","day, night","no-yield, driving-speed","With a free right turn (Powell eastbound to Hollis southbound) and right turns allowed on red at the other approaches, drivers frequently don't stop for pedestrians who have the right of way.",,,,,,,,,,10/1/2018,37.839496,-122.289202,Point,"[-122.289202000397,37.8394960002195]"
95,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-lighting, no-yield, driving-speed",Very high speeds on Powell with very few drivers stopping for pedestrians in the crosswalk.,,,,,,,,,,10/1/2018,37.8399062,-122.287265,Point,"[-122.287264999981,37.8399059998712]"
96,unsafe,,,,,,,,,,,,"walk, ride","day, night",driving-speed,"1. With crosswalks only on 3 legs, pedestrians must go out of there way to cross legally.  
2. Drivers turning from eastbound Powell to northbound Christie often turn wide into the thru lane.",,,,,,,,,,10/1/2018,37.83854505,-122.294572,Point,"[-122.294571999808,37.8385450000591]"
97,unsafe,,,,,,,,,,,,walk,"day, night",poor-sign,"This is where the Powell Street pedestrian bridge brings people to, but there's no place to cross at Shelmound.  Why is there no crosswalk to keep the path going?",,,,,,,,,,10/1/2018,37.83866576,-122.293237,Point,"[-122.29323699999,37.8386660002463]"
98,unsafe,,,,,,,,,,,,walk,"day, night",no-yield,Long crossing and drivers that turn right on red without stopping for pedestrians.,,,,,,,,,,10/1/2018,37.82950139,-122.287509,Point,"[-122.287509000379,37.8295009998758]"
99,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-lighting, poor-sign, driving-speed","While pedestrians are prohibited, bicycles are not - yet there are no sharrows, no bike lanes, and no signs whatsoever. (And apparently no EPD enforcement of speed limit.)",,,,,,,,,,10/1/2018,37.83898902,-122.292023,Point,"[-122.292022999647,37.8389890003485]"
100,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-lighting, poor-sign, driving-speed","While pedestrians are prohibited, bicycles are not - yet there are no sharrows, no bike lanes, and no signs whatsoever. (And apparently no EPD enforcement of speed limit.)",,,,,,,,,,10/1/2018,37.83898902,-122.292023,Point,"[-122.292022999647,37.8389890003485]"
